gender,discipline,result,score
Man,3000 Metres Short Track,7:20.37,1329
Man,2 Miles,7:50.00,1329
Man,2 Miles Short Track,7:57.66,1329
Man,5000 Metres,12:28.33,1329
Man,5000 Metres Short Track,12:43.03,1329
Man,10000 Metres,25:57.43,1329
Man,3000 Metres,7:16.33,1328
Man,3000 Metres Short Track,7:20.52,1328
Man,2 Miles,7:50.16,1328
Man,2 Miles Short Track,7:57.82,1328
Man,5000 Metres,12:28.59,1328
Man,5000 Metres Short Track,12:43.29,1328
Man,10000 Metres,25:58.03,1328
Man,3000 Metres,7:16.48,1327
Man,3000 Metres Short Track,7:20.67,1327
Man,2 Miles,7:50.33,1327
Man,2 Miles Short Track,7:57.98,1327
Man,5000 Metres,12:28.85,1327
Man,5000 Metres Short Track,12:43.54,1327
Man,10000 Metres,25:58.63,1327
Man,3000 Metres,7:16.63,1326
Man,3000 Metres Short Track,7:20.82,1326
Man,2 Miles,7:50.49,1326
Man,2 Miles Short Track,7:58.15,1326
Man,5000 Metres,12:29.11,1326
Man,5000 Metres Short Track,12:43.80,1326
Man,10000 Metres,25:59.23,1326
Man,3000 Metres,7:16.79,1325
Man,3000 Metres Short Track,7:20.98,1325
Man,2 Miles,7:50.65,1325
Man,2 Miles Short Track,7:58.31,1325
Man,5000 Metres,12:29.37,1325
Man,5000 Metres Short Track,12:44.05,1325
Man,10000 Metres,25:59.83,1325
Man,3000 Metres,7:16.94,1324
Man,3000 Metres Short Track,7:21.13,1324
Man,2 Miles,7:50.82,1324
Man,2 Miles Short Track,7:58.47,1324
Man,5000 Metres,12:29.63,1324
Man,5000 Metres Short Track,12:44.31,1324
Man,10000 Metres,26:00.43,1324
Man,3000 Metres,7:17.09,1323
Man,3000 Metres Short Track,7:21.28,1323
Man,2 Miles,7:50.98,1323
Man,2 Miles Short Track,7:58.63,1323
Man,5000 Metres,12:29.89,1323
Man,5000 Metres Short Track,12:44.56,1323
Man,10000 Metres,26:01.03,1323
Man,3000 Metres,7:17.24,1322
Man,3000 Metres Short Track,7:21.43,1322
Man,2 Miles,7:51.15,1322
Man,2 Miles Short Track,7:58.79,1322
Man,5000 Metres,12:30.15,1322
Man,5000 Metres Short Track,12:44.82,1322
Man,10000 Metres,26:01.63,1322
Man,3000 Metres,7:17.40,1321
Man,3000 Metres Short Track,7:21.58,1321
Man,2 Miles,7:51.31,1321
Man,2 Miles Short Track,7:58.96,1321
Man,5000 Metres,12:30.41,1321
Man,5000 Metres Short Track,12:45.07,1321
Man,10000 Metres,26:02.23,1321
Man,3000 Metres,7:17.55,1320
Man,3000 Metres Short Track,7:21.73,1320
Man,2 Miles,7:51.47,1320
Man,2 Miles Short Track,7:59.12,1320
Man,5000 Metres,12:30.68,1320
Man,5000 Metres Short Track,12:45.33,1320
Man,10000 Metres,26:02.83,1320
Man,3000 Metres,7:17.70,1319
Man,3000 Metres Short Track,7:21.88,1319
Man,2 Miles,7:51.64,1319
Man,2 Miles Short Track,7:59.28,1319
Man,5000 Metres,12:30.94,1319
Man,5000 Metres Short Track,12:45.59,1319
Man,10000 Metres,26:03.43,1319
Man,3000 Metres,7:17.85,1318
Man,3000 Metres Short Track,7:22.03,1318
Man,2 Miles,7:51.80,1318
Man,2 Miles Short Track,7:59.44,1318
Man,5000 Metres,12:31.20,1318
Man,5000 Metres Short Track,12:45.84,1318
Man,10000 Metres,26:04.04,1318
Man,3000 Metres,7:18.01,1317
Man,3000 Metres Short Track,7:22.18,1317
Man,2 Miles,7:51.97,1317
Man,2 Miles Short Track,7:59.60,1317
Man,5000 Metres,12:31.46,1317
Man,5000 Metres Short Track,12:46.10,1317
Man,10000 Metres,26:04.64,1317
Man,3000 Metres,7:18.16,1316
Man,3000 Metres Short Track,7:22.33,1316
Man,2 Miles,7:52.13,1316
Man,2 Miles Short Track,7:59.77,1316
Man,5000 Metres,12:31.72,1316
Man,5000 Metres Short Track,12:46.35,1316
Man,10000 Metres,26:05.24,1316
Man,3000 Metres,7:18.31,1315
Man,3000 Metres Short Track,7:22.48,1315
Man,2 Miles,7:52.30,1315
Man,2 Miles Short Track,7:59.93,1315
Man,5000 Metres,12:31.98,1315
Man,5000 Metres Short Track,12:46.61,1315
Man,10000 Metres,26:05.84,1315
Man,3000 Metres,7:18.46,1314
Man,3000 Metres Short Track,7:22.64,1314
Man,2 Miles,7:52.46,1314
Man,2 Miles Short Track,8:00.09,1314
Man,5000 Metres,12:32.24,1314
Man,5000 Metres Short Track,12:46.87,1314
Man,10000 Metres,26:06.44,1314
Man,3000 Metres,7:18.62,1313
Man,3000 Metres Short Track,7:22.79,1313
Man,2 Miles,7:52.62,1313
Man,2 Miles Short Track,8:00.25,1313
Man,5000 Metres,12:32.51,1313
Man,5000 Metres Short Track,12:47.12,1313
Man,10000 Metres,26:07.05,1313
Man,3000 Metres,7:18.77,1312
Man,3000 Metres Short Track,7:22.94,1312
Man,2 Miles,7:52.79,1312
Man,2 Miles Short Track,8:00.42,1312
Man,5000 Metres,12:32.77,1312
Man,5000 Metres Short Track,12:47.38,1312
Man,10000 Metres,26:07.65,1312
Man,3000 Metres,7:18.92,1311
Man,3000 Metres Short Track,7:23.09,1311
Man,2 Miles,7:52.95,1311
Man,2 Miles Short Track,8:00.58,1311
Man,5000 Metres,12:33.03,1311
Man,5000 Metres Short Track,12:47.63,1311
Man,10000 Metres,26:08.25,1311
Man,3000 Metres,7:19.08,1310
Man,3000 Metres Short Track,7:23.24,1310
Man,2 Miles,7:53.12,1310
Man,2 Miles Short Track,8:00.74,1310
Man,5000 Metres,12:33.29,1310
Man,5000 Metres Short Track,12:47.89,1310
Man,10000 Metres,26:08.86,1310
Man,3000 Metres,7:19.23,1309
Man,3000 Metres Short Track,7:23.39,1309
Man,2 Miles,7:53.28,1309
Man,2 Miles Short Track,8:00.90,1309
Man,5000 Metres,12:33.55,1309
Man,5000 Metres Short Track,12:48.15,1309
Man,10000 Metres,26:09.46,1309
Man,3000 Metres,7:19.38,1308
Man,3000 Metres Short Track,7:23.54,1308
Man,2 Miles,7:53.45,1308
Man,2 Miles Short Track,8:01.07,1308
Man,5000 Metres,12:33.82,1308
Man,5000 Metres Short Track,12:48.40,1308
Man,10000 Metres,26:10.06,1308
Man,3000 Metres,7:19.54,1307
Man,3000 Metres Short Track,7:23.70,1307
Man,2 Miles,7:53.61,1307
Man,2 Miles Short Track,8:01.23,1307
Man,5000 Metres,12:34.08,1307
Man,5000 Metres Short Track,12:48.66,1307
Man,10000 Metres,26:10.67,1307
Man,3000 Metres,7:19.69,1306
Man,3000 Metres Short Track,7:23.85,1306
Man,2 Miles,7:53.78,1306
Man,2 Miles Short Track,8:01.39,1306
Man,5000 Metres,12:34.34,1306
Man,5000 Metres Short Track,12:48.92,1306
Man,10000 Metres,26:11.27,1306
Man,3000 Metres,7:19.84,1305
Man,3000 Metres Short Track,7:24.00,1305
Man,2 Miles,7:53.94,1305
Man,2 Miles Short Track,8:01.56,1305
Man,5000 Metres,12:34.60,1305
Man,5000 Metres Short Track,12:49.17,1305
Man,10000 Metres,26:11.88,1305
Man,3000 Metres,7:20.00,1304
Man,3000 Metres Short Track,7:24.15,1304
Man,2 Miles,7:54.11,1304
Man,2 Miles Short Track,8:01.72,1304
Man,5000 Metres,12:34.87,1304
Man,5000 Metres Short Track,12:49.43,1304
Man,10000 Metres,26:12.48,1304
Man,3000 Metres,7:20.15,1303
Man,3000 Metres Short Track,7:24.30,1303
Man,2 Miles,7:54.27,1303
